model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_1_20250524_05956_model_122,0.663635872243398,0.628969543012988,0.5526466849105475,0.3948310701547814,0.4685575339408359,0.2195461626127176
GBM_grid_1_AutoML_1_20250524_05956_model_64,0.6635624499444603,0.6301252415631488,0.5475604944433448,0.4079183471964844,0.4689135244422197,0.2198798934048241
GBM_grid_1_AutoML_1_20250524_05956_model_144,0.6634815502825633,0.6302063826780139,0.5419731263781267,0.4084329339100212,0.4691374127824112,0.2200899120721745
GBM_grid_1_AutoML_1_20250524_05956_model_60,0.6633062376522161,0.6303409549945117,0.5474148713388917,0.4143581584786539,0.4693655047339271,0.2203039770341341
GBM_grid_1_AutoML_1_20250524_05956_model_228,0.6630917364328655,0.6307374492037071,0.5442583958365876,0.4116466684744467,0.4695513391185788,0.2204784600680505
GBM_grid_1_AutoML_1_20250524_05956_model_278,0.6630142601419619,0.6309005552058573,0.5394054001700531,0.409618321160847,0.4695445440770248,0.2204720788725011
GBM_grid_1_AutoML_1_20250524_05956_model_39,0.6629575943431497,0.629412535879581,0.5427236341097312,0.4070949363838572,0.4690863085725382,0.2200419648902105
GBM_grid_1_AutoML_1_20250524_05956_model_71,0.6628623705763065,0.6305886378075019,0.5448720959813148,0.4128462897415085,0.469352107816761,0.2202914011120365
GBM_grid_1_AutoML_1_20250524_05956_model_214,0.6628584967617613,0.6292334407036113,0.5475453310653563,0.4133023187933157,0.4688655650292799,0.2198349180702259
GBM_grid_1_AutoML_1_20250524_05956_model_220,0.6628493978020157,0.6303239943931731,0.5405184787859634,0.3883663943885544,0.4693020890109111,0.2202444507500052
GBM_grid_1_AutoML_1_20250524_05956_model_29,0.6628425510600289,0.6311135025802919,0.545794542182886,0.4145356332380495,0.4696474300121225,0.2205687085169915
GBM_grid_1_AutoML_1_20250524_05956_model_264,0.66282498376151,0.6322613671198635,0.5408100565000761,0.3984706540530461,0.4701095792624604,0.2210030165143275
GBM_grid_1_AutoML_1_20250524_05956_model_243,0.6627877771241342,0.6308712294145828,0.5369851439861026,0.403588413510784,0.4696150081658782,0.2205382558946379
GBM_grid_1_AutoML_1_20250524_05956_model_106,0.6626918326476081,0.6300268854053539,0.5467693206183337,0.3985398421825972,0.4691594163834608,0.2201105579812695
GBM_grid_1_AutoML_1_20250524_05956_model_238,0.6626419235020725,0.6307320780935878,0.5404704182592442,0.4164485769136869,0.469622538620589,0.2205453287804466
GBM_grid_1_AutoML_1_20250524_05956_model_88,0.6626399415504447,0.6324999825259063,0.5445404653880922,0.3938568508410232,0.4702379570787501,0.2211237362775964
GBM_grid_1_AutoML_1_20250524_05956_model_130,0.6625212947189097,0.629648416861359,0.5498237849117921,0.3986445252640275,0.4688143789761589,0.2197869219348015
GBM_grid_1_AutoML_1_20250524_05956_model_10,0.6625202136543855,0.6307088578309039,0.5393466413766557,0.4242779164643425,0.4693923312467568,0.220329160633265
GBM_grid_1_AutoML_1_20250524_05956_model_186,0.6625042679526529,0.6302270003826034,0.5426440430622249,0.4133253815031661,0.4692856113988426,0.2202289850659855
GBM_grid_1_AutoML_1_20250524_05956_model_135,0.6623484144837422,0.6296040342356977,0.5510785667581661,0.4068571922772354,0.4689112349083987,0.2198777462233194
GBM_grid_1_AutoML_1_20250524_05956_model_53,0.6622698571283142,0.6322009654151011,0.538348340907461,0.3932410044170494,0.4701693385753823,0.2210592069364124
GBM_grid_1_AutoML_1_20250524_05956_model_63,0.6621536426919588,0.6309136677441739,0.5446725694889205,0.3929748823666664,0.4695004239866935,0.2204306481236849
GBM_grid_1_AutoML_1_20250524_05956_model_102,0.6621532823371173,0.6300964239225275,0.5445151658045602,0.421813089349082,0.469252457206101,0.2201978685939636
GBM_grid_1_AutoML_1_20250524_05956_model_170,0.662068238594544,0.6304073900927467,0.5434065964065166,0.393661628605688,0.4694707752177169,0.2204028087835241
